job_id,posting_date,title,position_type,position_level,yoe,location,number_of_applicants,company_name,company_industry,company_size
115,2017-01-14,Data Scientist,Full-time,Mid-Senior level,8,"Maryland, United States",4.0,Genesys,Computer Software,"1,001-5,000"
117,2017-01-14,Data Engineer,Full-time,Mid-Senior level,7,Dallas-Fort Worth Metroplex,15.0,CVS Health,"Health, Wellness & Fitness","10,001+"
124,2017-01-15,Data Scientist,Full-time,Mid-Senior level,3,"Madison, WI",20.0,Flexion Inc.,Information Technology & Services,51-200
125,2017-01-15,Data Engineer,Contract,Mid-Senior level,4,"Las Vegas, NV",,Toptal,Internet,"1,001-5,000"
127,2017-01-15,Data Analyst,Full-time,Associate,4,United States,18.0,Teleflex,Medical Device,"10,001+"
134,2017-01-16,Data Engineer,Full-time,Entry level,2,"Chicago, IL",7.0,84.51˚,Management Consulting,"1,001-5,000"
135,2017-01-16,Data Engineer,Contract,Mid-Senior level,3,"Seattle, WA",170.0,WideNet Consulting Group,Staffing & Recruiting,51-200
136,2017-01-16,Data Engineer,Contract,Mid-Senior level,4,"Gresham, OR",,Toptal,Internet,"1,001-5,000"
137,2017-01-16,Data Engineer,Contract,Mid-Senior level,8,"Elgin, IL",,Toptal,Internet,"1,001-5,000"
139,2017-01-16,Data Analyst,Full-time,Entry level,1,"New York, NY",97.0,RippleMatch,Internet,51-200
143,2017-01-17,Data Engineer,Contract,Mid-Senior level,2,"Miami-Dade County, FL",,Toptal,Internet,"1,001-5,000"
144,2017-01-17,Data Engineer,Contract,Mid-Senior level,7,"Boston, MA",18.0,Onward Select,Staffing & Recruiting,51-200
146,2017-01-17,Data Analyst,Full-time,Entry level,2,"Newark, NJ",,Gong,Computer Software,"501-1,000"
156,2017-01-18,Data Engineer,Full-time,Mid-Senior level,3,"Charlotte, NC",12.0,Red Ventures,Internet,"1,001-5,000"
157,2017-01-19,Data Engineer,Full-time,Mid-Senior level,4,Atlanta Metropolitan Area,3.0,OneLogin,Information Technology & Services,201-500
161,2017-01-19,Data Scientist,Contract,Mid-Senior level,4,"Chula Vista, CA",,Toptal,Internet,"1,001-5,000"
164,2017-01-19,Data Scientist,Full-time,Entry level,1,"Philadelphia, PA",,CVS Health,"Health, Wellness & Fitness","10,001+"
168,2017-01-20,Data Analyst,Full-time,Mid-Senior level,7,United States,28.0,Anju Software,Computer Software,201-500
169,2017-01-20,Data Engineer,Full-time,Mid-Senior level,5,"Pittsburgh, PA",,Aha!,Computer Software,51-200
172,2017-01-20,Data Scientist,Full-time,Mid-Senior level,5,San Francisco Bay Area,13.0,Intelletec,Staffing & Recruiting,11-50
173,2017-01-21,Data Engineer,Contract,Mid-Senior level,5,"Lakewood, NJ",,Toptal,Internet,"1,001-5,000"
174,2017-01-21,Data Analyst,Contract,Mid-Senior level,11,"Des Moines, IA",24.0,Aureon Consulting,Staffing & Recruiting,"501-1,000"
178,2017-01-21,Data Engineer,Full-time,Entry level,2,"Santa Clara, CA",93.0,Tiger Analytics,Management Consulting,"501-1,000"
183,2017-01-22,Data Engineer,Full-time,Mid-Senior level,9,"Denver, CO",2.0,Jobot,Staffing & Recruiting,201-500
186,2017-01-22,Data Scientist,Full-time,Associate,4,"Arlington, VA",,Stanley Reid & Company,Information Technology & Services,11-50
188,2017-01-22,Data Architect,Full-time,Mid-Senior level,3,"Indianapolis, IN",1.0,Perficient,Information Technology & Services,"1,001-5,000"
194,2017-01-23,Data Scientist,Full-time,Entry level,1,United States,35.0,Tenerity,Marketing & Advertising,"1,001-5,000"
195,2017-01-23,Data Engineer,Full-time,Mid-Senior level,4,United States,24.0,Experian,Information Services,"10,001+"
197,2017-01-23,Data Scientist,Full-time,Mid-Senior level,5,"New York, United States",7.0,Harnham,Staffing & Recruiting,51-200
198,2017-01-23,Data Engineer,Contract,Mid-Senior level,0,United States,,Flexton Inc.,Information Technology & Services,51-200
203,2017-01-24,Data Engineer,Contract,Mid-Senior level,7,United States,13.0,Genzeon,Information Technology & Services,201-500
206,2017-01-24,Data Engineer,Contract,Mid-Senior level,6,"Redmond, WA",,Toptal,Internet,"1,001-5,000"
212,2017-01-25,Data Analyst,Contract,Associate,4,Dallas-Fort Worth Metroplex,46.0,Apex Systems,Information Technology & Services,"1,001-5,000"
217,2017-01-25,Data Analyst,Full-time,Entry level,1,"Portland, OR",31.0,CrowdStreet,Real Estate,51-200
220,2017-01-26,Data Analyst,Full-time,Entry level,2,Topeka Metropolitan Area,8.0,Wilbur-Ellis,Chemicals,"1,001-5,000"
222,2017-01-26,Data Engineer,Contract,Mid-Senior level,5,"Chapel Hill, NC",,Toptal,Internet,"1,001-5,000"
223,2017-01-26,Data Analyst,Full-time,Associate,5,"Los Angeles, CA",8.0,"Multi Media, LLC",Information Technology & Services,51-200
225,2017-01-26,Data Engineer,Full-time,Mid-Senior level,6,Louisville Metropolitan Area,3.0,phData,Information Technology & Services,51-200
233,2017-01-27,Data Engineer,Full-time,Mid-Senior level,4,"Madison, WI",2.0,Flexion Inc.,Information Technology & Services,51-200
239,2017-01-28,Data Engineer,Contract,Mid-Senior level,8,"Creve Coeur, MO",7.0,Revolution Technologies,Staffing & Recruiting,"1,001-5,000"
240,2017-01-28,Data Engineer,Contract,Mid-Senior level,2,"Dearborn, MI",46.0,Agile Tech Labs,Information Technology & Services,51-200
247,2017-01-29,Data Engineer,Full-time,Mid-Senior level,7,United States,4.0,Austin Fraser,Staffing & Recruiting,201-500
250,2017-01-30,Data Scientist,Contract,Mid-Senior level,5,"Portland, OR",,Toptal,Internet,"1,001-5,000"
252,2017-01-30,Data Analyst,Full-time,Associate,4,"Philadelphia, PA",24.0,Jobot,Staffing & Recruiting,201-500
253,2017-01-30,Data Engineer,Full-time,Mid-Senior level,3,"Hartford County, CT",27.0,Bridge Technical Talent,Information Technology & Services,11-50
257,2017-01-31,Data Analyst,Full-time,Mid-Senior level,6,"Columbus, Ohio Metropolitan Area",56.0,Sogeti,Information Technology & Services,"10,001+"
260,2017-01-31,Data Scientist,Contract,Mid-Senior level,7,"San Jose, CA",2.0,Toptal,Internet,"1,001-5,000"
261,2017-01-31,Data Engineer,Contract,Mid-Senior level,6,"Salt Lake City, UT",1.0,Jobot,Staffing & Recruiting,201-500
266,2017-02-01,Data Engineer,Contract,Mid-Senior level,7,"Overland Park, KS",,Toptal,Internet,"1,001-5,000"
268,2017-02-01,Data Engineer,Full-time,Director,6,United States,16.0,Aquent,Staffing & Recruiting,"10,001+"
273,2017-02-02,Data Architect,Full-time,Mid-Senior level,7,"Wilmington, DE",3.0,Perficient,Information Technology & Services,"1,001-5,000"
278,2017-02-02,Data Engineer,Full-time,Mid-Senior level,5,United States,,Mitchell Martin Inc.,Staffing & Recruiting,"501-1,000"
280,2017-02-03,Data Engineer,Full-time,Mid-Senior level,7,"San Francisco, CA",,Jobot,Staffing & Recruiting,201-500
281,2017-02-03,Data Scientist,Full-time,Executive,5,United States,45.0,Harnham,Staffing & Recruiting,51-200
283,2017-02-03,Data Engineer,Full-time,Associate,4,United States,11.0,Dun & Bradstreet,Information Services,"5,001-10,000"
285,2017-02-03,Data Analyst,Full-time,Associate,4,"Orlando, FL",37.0,Perficient,Information Technology & Services,"1,001-5,000"
287,2017-02-03,Data Architect,Full-time,Mid-Senior level,2,"National City, CA",,Perficient,Information Technology & Services,"1,001-5,000"
291,2017-02-04,Data Engineer,Full-time,Mid-Senior level,6,"Chicago, IL",1.0,Jobot,Staffing & Recruiting,201-500
292,2017-02-04,Data Engineer,Contract,Mid-Senior level,4,"Eugene, OR",,Toptal,Internet,"1,001-5,000"
297,2017-02-05,Data Scientist,Full-time,Associate,4,"Annapolis, MD",13.0,JLG Industries,Machinery,"1,001-5,000"
301,2017-02-05,Data Scientist,Full-time,Associate,1,"Portland, OR",20.0,Carta Healthcare Inc.,Information Technology & Services,51-200
303,2017-02-05,Data Engineer,Contract,Mid-Senior level,8,"San Diego, CA",,Toptal,Internet,"1,001-5,000"
307,2017-02-06,Data Scientist,Contract,Mid-Senior level,8,"Pasadena, TX",,Toptal,Internet,"1,001-5,000"
319,2017-02-08,Data Analyst,Full-time,Mid-Senior level,5,United States,77.0,Calendly,Computer Software,51-200
322,2017-02-08,Data Engineer,Contract,Mid-Senior level,5,"Allen, TX",,Toptal,Internet,"1,001-5,000"
324,2017-02-08,Data Engineer,Contract,Mid-Senior level,3,"Simi Valley, CA",,Toptal,Internet,"1,001-5,000"
326,2017-02-09,Data Scientist,Full-time,Entry level,3,United States,59.0,Possible,Financial Services,51-200
328,2017-02-09,Data Engineer,Full-time,Associate,5,"Los Angeles, CA",,Mailchimp,Internet,"1,001-5,000"
330,2017-02-09,Data Engineer,Contract,Mid-Senior level,6,"West Valley City, UT",,Toptal,Internet,"1,001-5,000"
331,2017-02-10,Data Engineer,Full-time,Mid-Senior level,0,United States,,Guru (getguru.com),Internet,51-200
337,2017-02-10,Data Analyst,Full-time,Entry level,3,United States,48.0,Granicus,Computer Software,"501-1,000"
342,2017-02-11,Data Analyst,Contract,Mid-Senior level,4,"Tempe, AZ",32.0,IntraEdge,Information Technology & Services,"1,001-5,000"
345,2017-02-11,Data Engineer,Full-time,Mid-Senior level,6,"Austin, TX",3.0,Teladoc Health,Hospital & Health Care,"1,001-5,000"
346,2017-02-12,Data Engineer,Contract,Mid-Senior level,3,"Renton, WA",,Toptal,Internet,"1,001-5,000"
352,2017-02-12,Data Engineer,Full-time,Associate,4,United States,9.0,ujet.cx,Computer Software,51-200
358,2017-02-13,Data Engineer,Contract,Mid-Senior level,5,San Francisco Bay Area,12.0,Applicantz,Internet,51-200
359,2017-02-14,Data Analyst,Full-time,Associate,3,"Home, PA",,Highmark Inc.,Insurance,"10,001+"
362,2017-02-14,Data Scientist,Contract,Entry level,2,"Jackson, MI",34.0,EPITEC,Information Technology & Services,"1,001-5,000"
364,2017-02-14,Data Engineer,Full-time,Mid-Senior level,5,"Richmond, VA",2.0,Impact Makers,Management Consulting,51-200
369,2017-02-15,Data Scientist,Contract,Mid-Senior level,5,"Daly City, CA",,Toptal,Internet,"1,001-5,000"
371,2017-02-15,Data Engineer,Full-time,Mid-Senior level,4,New York City Metropolitan Area,8.0,Harnham,Staffing & Recruiting,51-200
372,2017-02-16,Data Analyst,Full-time,Associate,4,"Indianapolis, IN",58.0,Brooksource,Information Technology & Services,"1,001-5,000"
374,2017-02-16,Data Scientist,Full-time,Mid-Senior level,6,United States,12.0,Cityblock Health,Hospital & Health Care,201-500
377,2017-02-16,Data Engineer,Contract,Mid-Senior level,4,"Huntsville, AL",,Toptal,Internet,"1,001-5,000"
380,2017-02-17,Data Analyst,Full-time,Mid-Senior level,3,"Daly City, CA",7.0,Genesys,Computer Software,"1,001-5,000"
384,2017-02-17,Data Engineer,Full-time,Associate,4,"Richmond, VA",,Mozilla,Computer Software,"501-1,000"
386,2017-02-18,Data Engineer,Contract,Mid-Senior level,7,"Dallas, TX",80.0,"ConnectTel, Inc.",Computer Software,11-50
388,2017-02-18,Data Engineer,Contract,Mid-Senior level,4,"Dublin, OH",41.0,CCS IT,Information Technology & Services,51-200
392,2017-02-19,Data Engineer,Contract,Mid-Senior level,6,Atlanta Metropolitan Area,50.0,Staffing Technologies,Staffing & Recruiting,201-500
396,2017-02-19,Data Engineer,Full-time,Mid-Senior level,4,"San Antonio, Texas Metropolitan Area",6.0,phData,Information Technology & Services,51-200
398,2017-02-20,Data Engineer,Full-time,Mid-Senior level,8,"New York, United States",50.0,Trust In SODA,Staffing & Recruiting,11-50
399,2017-02-20,Data Scientist,Contract,Mid-Senior level,4,"Orlando, FL",,Toptal,Internet,"1,001-5,000"
401,2017-02-20,Data Analyst,Contract,Mid-Senior level,3,Greater Chicago Area,100.0,Forrest Solutions,Staffing & Recruiting,"1,001-5,000"
403,2017-02-20,Data Analyst,Full-time,Entry level,1,"Arlington, VA",3.0,ClearanceJobs,Defense & Space,11-50
408,2017-02-21,Data Engineer,Full-time,Mid-Senior level,9,"Atlanta, GA",6.0,DataSoft Technologies,Computer Software,11-50
409,2017-02-21,Data Engineer,Full-time,Associate,5,United States,11.0,Lunchbox,Information Technology & Services,51-200
413,2017-02-22,Data Analyst,Contract,Mid-Senior level,5,San Francisco Bay Area,30.0,Customer of K2 Partnering,,
416,2017-02-22,Data Analyst,Full-time,Associate,5,United States,190.0,Austin Fraser,Staffing & Recruiting,201-500
418,2017-02-23,Data Engineer,Contract,Mid-Senior level,7,"St Louis, MO",,Toptal,Internet,"1,001-5,000"
419,2017-02-23,Data Engineer,Contract,Mid-Senior level,9,"Bridgeport, CT",,Toptal,Internet,"1,001-5,000"
422,2017-02-23,Data Engineer,Contract,Mid-Senior level,5,"San Rafael, CA",16.0,Ascent Services Group,Staffing & Recruiting,201-500
424,2017-02-24,Data Engineer,Full-time,Mid-Senior level,5,"Irvine, CA",1.0,Jobot,Staffing & Recruiting,201-500
426,2017-02-24,Data Analyst,Full-time,Associate,3,"Portland, OR",2.0,"New Relic, Inc.",Computer Software,"1,001-5,000"
430,2017-02-25,Data Engineer,Contract,Mid-Senior level,3,"Denton, TX",,Toptal,Internet,"1,001-5,000"
432,2017-02-25,Data Scientist,Full-time,Director,6,Dallas-Fort Worth Metroplex,24.0,HuntSource,Information Technology & Services,11-50
433,2017-02-25,Data Engineer,Full-time,Associate,2,United States,5.0,Press Ganey,Hospital & Health Care,"1,001-5,000"
436,2017-02-26,Data Scientist,Full-time,Mid-Senior level,6,United States,15.0,SentiLink,Information Technology & Services,11-50
440,2017-02-26,Data Engineer,Contract,Mid-Senior level,4,"Independence, MO",,Toptal,Internet,"1,001-5,000"
446,2017-02-27,Data Engineer,Contract,Mid-Senior level,5,"Redmond, WA",,Toptal,Internet,"1,001-5,000"
447,2017-02-27,Data Engineer,Contract,Mid-Senior level,1,United States,22.0,Elsdon Consulting ltd,Staffing & Recruiting,11-50
450,2017-02-28,Data Engineer,Contract,Mid-Senior level,5,"Mountain View, CA",,Toptal,Internet,"1,001-5,000"
451,2017-02-28,Data Engineer,Full-time,Associate,3,United States,4.0,App Annie,Internet,201-500
456,2017-03-01,Data Analyst,Full-time,Entry level,1,"Eden Prairie, MN",12.0,Optum,Hospital & Health Care,"10,001+"
462,2017-03-02,Data Scientist,Contract,Mid-Senior level,4,"Piscataway, NJ",,Toptal,Internet,"1,001-5,000"
464,2017-03-02,Data Engineer,Contract,Mid-Senior level,4,"Sugar Land, TX",,Toptal,Internet,"1,001-5,000"
465,2017-03-02,Data Scientist,Contract,Mid-Senior level,5,"Davie, FL",,Toptal,Internet,"1,001-5,000"
474,2017-03-04,Data Engineer,Contract,Mid-Senior level,4,"Hillsboro, OR",,Toptal,Internet,"1,001-5,000"
477,2017-03-04,Data Scientist,Full-time,Entry level,1,United States,31.0,Phreesia,Hospital & Health Care,"1,001-5,000"
479,2017-03-05,Data Engineer,Contract,Mid-Senior level,4,"Cincinnati, OH",,Toptal,Internet,"1,001-5,000"
484,2017-03-06,Data Engineer,Full-time,Associate,4,"California, United States",2.0,Verana Health,Information Technology & Services,51-200
490,2017-03-06,Data Analyst,Full-time,Associate,4,United States,31.0,WGSN,Information Services,"501-1,000"
491,2017-03-07,Data Scientist,Contract,Mid-Senior level,7,"Greensboro, NC",4.0,Toptal,Internet,"1,001-5,000"
496,2017-03-07,Data Engineer,Full-time,Mid-Senior level,6,"California, United States",2.0,Modis,Information Technology & Services,"10,001+"
507,2017-03-09,Data Scientist,Full-time,Associate,4,"San Francisco, CA",1.0,Shipt,Internet,"1,001-5,000"
514,2017-03-10,Data Scientist,Contract,Mid-Senior level,7,"Grand Rapids, MI",,Toptal,Internet,"1,001-5,000"
518,2017-03-11,Data Scientist,Full-time,Mid-Senior level,6,"Greenville-Spartanburg-Anderson, South Carolina Area",18.0,Purpose Financial,Financial Services,"5,001-10,000"
520,2017-03-11,Data Analyst,Full-time,Entry level,1,United States,36.0,Premier Research,Biotechnology,"1,001-5,000"
521,2017-03-11,Data Engineer,Full-time,Entry level,1,"Austin, TX",,MotoRefi,Financial Services,201-500
526,2017-03-12,Data Analyst,Full-time,Associate,4,"New York, United States",20.0,Vroom,Automotive,"501-1,000"
529,2017-03-12,Data Scientist,Full-time,Mid-Senior level,6,"New York, NY",13.0,Urbint,Computer Software,51-200
531,2017-03-13,Data Engineer,Contract,Mid-Senior level,4,United States,25.0,Techolution,Information Technology & Services,201-500
532,2017-03-13,Data Engineer,Contract,Mid-Senior level,6,"Denver, CO",3.0,Jobot,Staffing & Recruiting,201-500
534,2017-03-13,Data Engineer,Contract,Mid-Senior level,5,"Austin, TX",5.0,Modis,Information Technology & Services,"10,001+"
537,2017-03-14,Data Architect,Full-time,Mid-Senior level,4,"Albuquerque, NM",5.0,Perficient,Information Technology & Services,"1,001-5,000"
540,2017-03-14,Data Engineer,Full-time,Entry level,2,"Philadelphia, PA",7.0,Wikimedia Foundation,Internet,201-500
541,2017-03-14,Data Engineer,Contract,Mid-Senior level,4,"Omaha, NE",,Toptal,Internet,"1,001-5,000"
546,2017-03-15,Data Engineer,Contract,Mid-Senior level,9,"Carrollton, TX",,Toptal,Internet,"1,001-5,000"
548,2017-03-15,Data Scientist,Full-time,Mid-Senior level,3,"Chicago, IL",35.0,Hirewell,Staffing & Recruiting,51-200
549,2017-03-15,Data Engineer,Contract,Mid-Senior level,7,"Centennial, CO",,Toptal,Internet,"1,001-5,000"
553,2017-03-15,Data Engineer,Contract,Mid-Senior level,4,"Oakland, CA",,Toptal,Internet,"1,001-5,000"
557,2017-03-16,Data Engineer,Contract,Mid-Senior level,2,Charlotte Metro,42.0,Eliassen Group,Information Technology & Services,"1,001-5,000"
562,2017-03-17,Data Scientist,Full-time,Entry level,1,United States,2.0,Stitch Fix,Apparel & Fashion,"5,001-10,000"
563,2017-03-17,Data Engineer,Full-time,Mid-Senior level,6,"Charlotte, NC",3.0,Jobot,Staffing & Recruiting,201-500
564,2017-03-17,Data Analyst,Full-time,Associate,4,United States,16.0,Eventbrite,Internet,"501-1,000"
569,2017-03-17,Data Engineer,Contract,Mid-Senior level,6,"Corvallis, OR",,Toptal,Internet,"1,001-5,000"
573,2017-03-18,Data Engineer,Full-time,Entry level,2,"All, MO",,Dice,Internet,"1,001-5,000"
576,2017-03-18,Data Scientist,Contract,Mid-Senior level,5,United States,33.0,Onward Select,Staffing & Recruiting,51-200
578,2017-03-18,Data Engineer,Full-time,Associate,3,"Eden Prairie, MN",,Optum,Hospital & Health Care,"10,001+"
584,2017-03-19,Data Engineer,Full-time,Entry level,2,"Carrollton, TX",8.0,"Yoh, A Day & Zimmermann Company",Staffing & Recruiting,"1,001-5,000"
585,2017-03-19,Data Engineer,Full-time,Mid-Senior level,7,"Portland, Oregon Metropolitan Area",10.0,OmniData,Information Technology & Services,11-50
587,2017-03-19,Data Engineer,Contract,Mid-Senior level,5,"Hollywood, FL",,Toptal,Internet,"1,001-5,000"
588,2017-03-19,Data Analyst,Full-time,Associate,4,United States,48.0,"BlueOwl, LLC",Information Technology & Services,51-200
589,2017-03-20,Data Engineer,Full-time,Associate,4,San Francisco Bay Area,44.0,Mastech Digital,Information Technology & Services,"1,001-5,000"
593,2017-03-20,Data Scientist,Full-time,Associate,4,"Long Beach, CA",5.0,Jobot,Staffing & Recruiting,201-500
595,2017-03-20,Data Engineer,Full-time,Associate,4,United States,,agilon health,Hospital & Health Care,"501-1,000"
598,2017-03-21,Data Engineer,Contract,Mid-Senior level,11,"Henderson, NV",,Toptal,Internet,"1,001-5,000"
602,2017-03-21,Data Analyst,Full-time,Entry level,0,"Atlanta, GA",11.0,Dice,Internet,"1,001-5,000"
619,2017-03-23,Data Analyst,Full-time,Mid-Senior level,5,"Washington, DC",86.0,M&S Consulting,Information Technology & Services,51-200
620,2017-03-23,Data Scientist,Contract,Mid-Senior level,7,"Tallahassee, FL",2.0,Toptal,Internet,"1,001-5,000"
621,2017-03-23,Data Engineer,Contract,Mid-Senior level,7,United States,6.0,UNITED SOFT SOLUTIONS,Staffing & Recruiting,51-200
625,2017-03-23,Data Scientist,Contract,Associate,2,"Minneapolis, MN",23.0,Corps Team / Mom Corps,Staffing & Recruiting,51-200
626,2017-03-23,Data Analyst,Full-time,Associate,2,"Seattle, WA",9.0,DocuSign,Computer Software,"5,001-10,000"
638,2017-03-25,Data Analyst,Full-time,Mid-Senior level,4,"San Francisco, CA",23.0,NerdWallet,Consumer Services,201-500
639,2017-03-25,Data Engineer,Contract,Mid-Senior level,4,"Norman, OK",,Toptal,Internet,"1,001-5,000"
642,2017-03-25,Data Engineer,Contract,Mid-Senior level,6,"Glendale, CA",,Toptal,Internet,"1,001-5,000"
643,2017-03-25,Data Scientist,Contract,Mid-Senior level,9,"Overland Park, KS",2.0,Toptal,Internet,"1,001-5,000"
644,2017-03-25,Data Scientist,Full-time,Mid-Senior level,2,United States,5.0,"Coalition, Inc.",Information Technology & Services,201-500
652,2017-03-26,Data Engineer,Full-time,Mid-Senior level,3,Salt Lake City Metropolitan Area,8.0,OrionIG,Information Technology & Services,11-50
653,2017-03-26,Data Engineer,Contract,Mid-Senior level,8,"Alexandria, VA",,Toptal,Internet,"1,001-5,000"
656,2017-03-27,Data Scientist,Contract,Mid-Senior level,1,"Philadelphia, PA",3.0,Toptal,Internet,"1,001-5,000"
662,2017-03-27,Data Architect,Full-time,Mid-Senior level,5,"New Jersey, United States",5.0,Adobe,Computer Software,"10,001+"
663,2017-03-27,Data Architect,Full-time,Mid-Senior level,8,"Miami, FL",1.0,Perficient,Information Technology & Services,"1,001-5,000"
666,2017-03-28,Data Engineer,Full-time,Mid-Senior level,6,United States,15.0,Spiceworks Ziff Davis,Marketing & Advertising,"1,001-5,000"
669,2017-03-28,Data Engineer,Full-time,Mid-Senior level,4,United States,7.0,Openly,Insurance,51-200
671,2017-03-28,Data Engineer,Full-time,Mid-Senior level,1,United States,7.0,Superus Careers,Staffing & Recruiting,1-10
672,2017-03-28,Data Scientist,Contract,Mid-Senior level,4,"Santa Maria, CA",,Toptal,Internet,"1,001-5,000"
673,2017-03-29,Data Scientist,Contract,Mid-Senior level,5,"Riverside, CA",,Toptal,Internet,"1,001-5,000"
680,2017-03-29,Data Analyst,Full-time,Mid-Senior level,7,"Greenville-Spartanburg-Anderson, South Carolina Area",2.0,Purpose Financial,Financial Services,"5,001-10,000"
683,2017-03-30,Data Engineer,Full-time,Mid-Senior level,4,Atlanta Metropolitan Area,34.0,Sogeti,Information Technology & Services,"10,001+"
686,2017-03-30,Data Scientist,Contract,Mid-Senior level,6,"Chandler, AZ",,Toptal,Internet,"1,001-5,000"
687,2017-03-30,Data Engineer,Full-time,Associate,5,United States,1.0,Cars.com,Internet,"1,001-5,000"
688,2017-03-30,Data Analyst,Full-time,Associate,4,United States,9.0,MediaMath,Internet,"501-1,000"
689,2017-03-30,Data Scientist,Contract,Mid-Senior level,4,"Tempe, AZ",2.0,Toptal,Internet,"1,001-5,000"
691,2017-03-30,Data Engineer,Full-time,Associate,3,"Atlanta, GA",3.0,Brooksource,Information Technology & Services,"1,001-5,000"
696,2017-03-31,Data Engineer,Contract,Mid-Senior level,4,"Richardson, TX",,Toptal,Internet,"1,001-5,000"
697,2017-03-31,Data Engineer,Full-time,Mid-Senior level,6,"Boston, MA",2.0,Motion Recruitment,Staffing & Recruiting,"501-1,000"
698,2017-03-31,Data Analyst,Contract,Associate,4,United States,40.0,Sand Cherry,Management Consulting,51-200
700,2017-03-31,Data Analyst,Full-time,Associate,4,United States,,Benefitfocus,Computer Software,"1,001-5,000"
702,2017-03-31,Data Engineer,Contract,Director,10,"Houston, TX",6.0,Intellisoft Technologies,Information Technology & Services,51-200
706,2017-04-01,Data Analyst,Full-time,Associate,4,"Dallas, TX",40.0,Perficient,Information Technology & Services,"1,001-5,000"
711,2017-04-01,Data Scientist,Full-time,Mid-Senior level,5,United States,10.0,Shopify,Internet,"5,001-10,000"
712,2017-04-02,Data Engineer,Full-time,Mid-Senior level,6,"Salt Lake City, UT",,Aha!,Computer Software,51-200
715,2017-04-02,Data Engineer,Full-time,Mid-Senior level,6,United States,12.0,Austin Fraser,Staffing & Recruiting,201-500
